"","x"
"1",39.9554405933737
"2",198.030751251272
"3",0.136884401644175
"4",28.492367624273
"5",3127.19277680801
"6",9534.30689105097
"7",6688.64189682748
"8",59399276823504
"9",2.1916513715142
"10",33.1055730583972
"11",1.87508732965721
"12",6.16584094432472
