"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-10,-5,1.50085276079946e-05,0
10,-10,-4,6.99685581167631e-05,0
10,-10,-3,0.000325935630042777,0
10,-10,-2,0.00150887094569981,0
10,-10,-1,0.0068876710099717,0
10,-10,0,0.0302540323011833,0
10,-10,1,0.117232866824744,0
10,-10,2,0.323605211781795,0
10,-10,3,0.527181220167705,0
10,-10,4,0.560772593613551,0
10,-10,5,0.57316189494919,0.236465931997865
10,-10,6,0.599400521224991,1.28430355478269
10,-10,7,0.613300412965747,3.41873668431817
10,-10,8,0.617465361977264,6.75626743890305
10,-10,9,0.631942629235085,11.3574046142623
10,-10,10,0.634195896940844,17.2273167202034
10,-10,11,0.619570990822529,24.2881968749806
10,-10,12,0.615531819132825,32.4366554053074
10,-10,13,0.619791875320766,41.5681088120233
10,-10,14,0.5960519428741,51.5448261001152
10,-10,15,0.583579027052956,62.2015578265652
10,-10,16,0.544087914662819,73.3560627662893
10,-10,17,0.528319260526013,84.8117768561784
10,-10,18,0.493059044155413,96.3742364801906
10,-10,19,0.459032994239658,107.85228260396
10,-10,20,0.415273466649086,119.058882120076
10,-10,21,0.377688724725719,129.819314436828
10,-10,22,0.216011034978452,139.966486743496
10,-10,23,0.0328985532894439,149.341753277636
10,-10,24,0,157.804862707838
10,-10,25,0,165.235789038301
10,-10,26,0,166.900454961466
10,-10,27,0,163.944923927942
10,-10,28,0,159.023241218578
10,-10,29,0,151.621333420133
10,-10,30,0,143.317621621028
10,-9,-5,1.61470385692333e-05,0
10,-9,-4,7.3713216358874e-05,0
10,-9,-3,0.000339152823026726,0
10,-9,-2,0.00155773730913975,0
10,-9,-1,0.00707371977652848,0
10,-9,0,0.0309655059479915,0
10,-9,1,0.119802370997958,0
10,-9,2,0.330965721411906,0
10,-9,3,0.537512227469978,0
10,-9,4,0.572265787516767,0
10,-9,5,0.584764591678847,0.244113389436175
10,-9,6,0.611471001530644,1.32727007579793
10,-9,7,0.621244778397508,3.52477280736249
10,-9,8,0.636177837706476,6.95292203092036
10,-9,9,0.644190384748796,11.6790124405456
10,-9,10,0.637177661913798,17.6860279190711
10,-9,11,0.63154824149947,24.8907270446937
10,-9,12,0.637516183388636,33.2029198063653
10,-9,13,0.637058688490736,42.5111511722604
10,-9,14,0.610763420489918,52.6676085038569
10,-9,15,0.562222836597144,63.5019181332677
10,-9,16,0.557060794215446,74.8235063664067
10,-9,17,0.541530450019726,86.4389357763644
10,-9,18,0.50036946570244,98.1554267589992
10,-9,19,0.460961138037418,109.780867008262
10,-9,20,0.428215168638676,121.132012059629
10,-9,21,0.4265476697807,132.027689219526
10,-9,22,0.210779836623381,142.293477690889
10,-9,23,0.0506968012063508,151.771162246256
10,-9,24,0,160.319280412347
10,-9,25,0,167.818249453298
10,-9,26,0,169.424276712214
10,-9,27,0,166.522360362983
10,-9,28,0,161.426820057208
10,-9,29,0,153.840803722453
10,-9,30,0,145.58072520012
10,-8,-5,1.80695983564702e-05,0
10,-8,-4,7.92866198492381e-05,0
10,-8,-3,0.000357203730258068,0
10,-8,-2,0.001620441763509,0
10,-8,-1,0.00730060383554845,0
10,-8,0,0.0317957854419219,0
10,-8,1,0.122665561648279,0
10,-8,2,0.338754236866935,0
10,-8,3,0.547668951851925,0
10,-8,4,0.584016999378523,0
10,-8,5,0.601122998042357,0.25270741364149
10,-8,6,0.623640240299553,1.37464299644482
10,-8,7,0.629289792684697,3.64102115309533
10,-8,8,0.651635007527156,7.17074608851698
10,-8,9,0.652807253403418,12.0287772994491
10,-8,10,0.641932918808935,18.1779204384115
10,-8,11,0.645010497265055,25.5391561455749
10,-8,12,0.657551916039059,34.0289849331354
10,-8,13,0.637349013981165,43.5235133378479
10,-8,14,0.602988915549893,53.8679802806368
10,-8,15,0.574603161348002,64.882423191992
10,-8,16,0.577486918520665,76.3779142053264
10,-8,17,0.539516027669352,88.1636201759403
10,-8,18,0.503945366522328,100.045960401115
10,-8,19,0.469117367409053,111.8362131696
10,-8,20,0.437780268547649,123.342042081138
10,-8,21,0.394881010071183,134.376315917421
10,-8,22,0.232724721515968,144.76462464148
10,-8,23,0.0592492927937113,154.346889589447
10,-8,24,0,162.984557798192
10,-8,25,0,170.560442669889
10,-8,26,0,172.112633401812
10,-8,27,0,169.264356541291
10,-8,28,0,163.978009139991
10,-8,29,0,156.234780200996
10,-8,30,0,147.948649180141
10,-7,-5,2.19659066429543e-05,0
10,-7,-4,8.87291782737296e-05,0
10,-7,-3,0.000384169062046388,0
10,-7,-2,0.00170637780339817,0
10,-7,-1,0.00759246189541887,0
10,-7,0,0.0328071740600185,0
10,-7,1,0.125953960736055,0
10,-7,2,0.347222272754187,0
10,-7,3,0.557268696229522,0
10,-7,4,0.592675088905147,0
10,-7,5,0.617402268138885,0.262485111774778
10,-7,6,0.632477140328823,1.42743952625824
10,-7,7,0.638899193871593,3.76921382681639
10,-7,8,0.66405257791082,7.41281181450645
10,-7,9,0.657357982215438,12.4090261010406
10,-7,10,0.650917207655713,18.7072827775092
10,-7,11,0.672233891621779,26.2425853782272
10,-7,12,0.667348424245112,34.9228036000277
10,-7,13,0.635266248875337,44.6134951517974
10,-7,14,0.606859023829163,55.1501639442964
10,-7,15,0.604345647260106,66.3519186072389
10,-7,16,0.579343880041509,78.0334888423615
10,-7,17,0.541705431947017,90.0036510189614
10,-7,18,0.51342073912013,102.071155113719
10,-7,19,0.494230918340925,114.035952831676
10,-7,20,0.403426119738251,125.701386239129
10,-7,21,0.40970482451022,136.879046782882
10,-7,22,0.255793461263171,147.393942485823
10,-7,23,0.0661799389705588,157.089973559881
10,-7,24,0,165.825754720043
10,-7,25,0,173.481326181846
10,-7,26,0,174.983379423562
10,-7,27,0,172.161144075002
10,-7,28,0,166.699258119729
10,-7,29,0,158.835707806222
10,-7,30,0,150.494247350612
10,-6,-5,3.17828534638752e-05,0
10,-6,-4,0.00010788495769331,0
10,-6,-3,0.000429974084040746,0
10,-6,-2,0.00183508206736405,0
10,-6,-1,0.00799295384936255,0
10,-6,0,0.0341018190395348,0
10,-6,1,0.129871432307241,0
10,-6,2,0.356554819375813,0
10,-6,3,0.566550152663249,0
10,-6,4,0.598174247850748,0
10,-6,5,0.623971684519122,0.27382831762618
10,-6,6,0.640638114447559,1.48665179138269
10,-6,7,0.660676660070185,3.91163742898822
10,-6,8,0.672033368386169,7.6817187393377
10,-6,9,0.663395278810229,12.8225229719278
10,-6,10,0.671462144932358,19.2850197178862
10,-6,11,0.69223510209168,27.0107712788316
10,-6,12,0.664678096843559,35.8928587228099
10,-6,13,0.627274187868595,45.7865907832081
10,-6,14,0.632386519844935,56.5230278932482
10,-6,15,0.617616035797623,67.9260638463788
10,-6,16,0.569049780698191,79.8107384090621
10,-6,17,0.554145969479034,91.9862649476128
10,-6,18,0.539585309858319,104.248709205513
10,-6,19,0.459235583556928,116.394873036717
10,-6,20,0.428750532684759,128.225842859869
10,-6,21,0.421849687003962,139.55540379589
10,-6,22,0.271680842549482,150.208813111122
10,-6,23,0.0699615803700813,160.024978545616
10,-6,24,0,168.8635653073
10,-6,25,0,176.604904760665
10,-6,26,0,178.064313417083
10,-6,27,0,175.256703561325
10,-6,28,0,169.636909822512
10,-6,29,0,161.681481427811
10,-6,30,0,153.238845705514
10,-5,-5,6.20800965265855e-05,0
10,-5,-4,0.000156002149085726,0
10,-5,-3,0.000522916066232501,0
10,-5,-2,0.00205397538312582,0
10,-5,-1,0.0085928888645261,0
10,-5,0,0.0358672310397482,0
10,-5,1,0.134767037139123,0
10,-5,2,0.367128896292089,0
10,-5,3,0.575353917958363,0
10,-5,4,0.60404722360069,0
10,-5,5,0.637783153720417,0.287212016595396
10,-5,6,0.647963033724926,1.55345613930562
10,-5,7,0.676419391946361,4.07384908307619
10,-5,8,0.675856240560803,7.98032561738431
10,-5,9,0.669622121789134,13.2745412796292
10,-5,10,0.698528237434442,19.9220182912041
10,-5,11,0.692733555339487,27.8527609117454
10,-5,12,0.655461296675802,36.9468594601679
10,-5,13,0.646771491182059,47.0516971726396
10,-5,14,0.636152695015617,58.0038575990704
10,-5,15,0.601430415944291,69.6285395143894
10,-5,16,0.592188006146723,81.7385309420459
10,-5,17,0.563699052158449,94.1300689452799
10,-5,18,0.498390709149184,106.596192075077
10,-5,19,0.467968027294154,118.932519596649
10,-5,20,0.420602757095099,130.942596751337
10,-5,21,0.427025426289651,142.435270365269
10,-5,22,0.267467690100028,153.234196716799
10,-5,23,0.0759576404415225,163.178696815163
10,-5,24,0,172.130616493814
10,-5,25,0,179.974306974018
10,-5,26,0,181.406421267795
10,-5,27,0,178.594739460493
10,-5,28,0,172.803017704648
10,-5,29,0,164.770375734376
10,-5,30,0,156.192059526043
10,-4,-4,0.00030341654735145,0
10,-4,-3,0.000755534201615909,0
10,-4,-2,0.00249774345343215,0
10,-4,-1,0.00961241360896956,0
10,-4,0,0.0384947318110046,0
10,-4,1,0.141274057104195,0
10,-4,2,0.379573697874028,0
10,-4,3,0.583069455635393,0
10,-4,4,0.613182857246876,0
10,-4,5,0.650378222248661,0.303289712247025
10,-4,6,0.658914596538344,1.62974801483986
10,-4,7,0.68816130454105,4.26048865123301
10,-4,8,0.675651427182453,8.31191760074898
10,-4,9,0.692618178118922,13.7778817790691
10,-4,10,0.710366608322237,20.6294372655267
10,-4,11,0.680316598948854,28.7785743132537
10,-4,12,0.677664470442852,38.0938163644299
10,-4,13,0.673838275616639,48.4279071045331
10,-4,14,0.644850991126422,59.6200245984847
10,-4,15,0.626361103917877,71.4897424589187
10,-4,16,0.584615023438641,83.8373731929293
10,-4,17,0.542100463346391,96.45601606818
10,-4,18,0.514628056459533,109.140081042341
10,-4,19,0.473881252267771,121.682612575847
10,-4,20,0.427057975643709,133.882771085575
10,-4,21,0.435921688563556,145.549322191412
10,-4,22,0.246891819068191,156.508246877657
10,-4,23,0.086484560148556,166.600657187141
10,-4,24,0,175.681070091224
10,-4,25,0,183.626238595109
10,-4,26,0,185.020803062805
10,-4,27,0,182.18282244178
10,-4,28,0,176.228224447747
10,-4,29,0,168.161460454296
10,-4,30,0,159.434030425471
10,-3,-3,0.00146245186267111,0
10,-3,-2,0.00360291995211323,0
10,-3,-1,0.0116718054697459,0
10,-3,0,0.0429229917719744,0
10,-3,1,0.150694515655588,0
10,-3,2,0.39498655605298,0
10,-3,3,0.591345145663801,0
10,-3,4,0.628288902342125,0
10,-3,5,0.672253627506145,0.322446019811731
10,-3,6,0.67661571029205,1.71809180898081
