Treatment;Initial_Condition;Date;Final_Condition;Date2;Day
10;Outside;14/01/2019;Un-heated;01/14/2019;56
11;Outside;14/01/2019;Heated;01/14/2019;56
16;Un-heated;14/01/2019;Heated;01/14/2019;56
17;Un-heated;14/01/2019;Heated;01/14/2019;56
18;Un-heated;14/01/2019;Heated;01/14/2019;56
19;Heated;14/01/2019;Un-heated;01/14/2019;56
20;Heated;14/01/2019;Un-heated;01/14/2019;56
21;Heated;14/01/2019;Un-heated;01/14/2019;56
2;Un-heated;14/01/2019;Un-heated;01/14/2019;56
6;Outside;14/01/2019;Outside;01/14/2019;56
7;Heated;14/01/2019;Heated;01/14/2019;56
12;Un-heated;14/01/2019;Outside;01/14/2019;56
13;Un-heated;14/01/2019;Heated;01/14/2019;56
22;Outside;14/01/2019;Heated;01/14/2019;56
23;Outside;14/01/2019;Heated;01/14/2019;56
24;Outside;14/01/2019;Heated;01/14/2019;56
25;Heated;14/01/2019;Outside;01/14/2019;56
26;Heated;14/01/2019;Outside;01/14/2019;56
27;Heated;14/01/2019;Outside;01/14/2019;56
3;Heated;14/01/2019;Heated;01/14/2019;56
8;Outside;14/01/2019;Outside;01/14/2019;56
9;Un-heated;14/01/2019;Un-heated;01/14/2019;56
14;Heated;14/01/2019;Outside;01/14/2019;56
15;Heated;14/01/2019;Un-heated;01/14/2019;56
28;Outside;14/01/2019;Un-heated;01/14/2019;56
29;Outside;14/01/2019;Un-heated;01/14/2019;56
30;Outside;14/01/2019;Un-heated;01/14/2019;56
31;Un-heated;14/01/2019;Outside;01/14/2019;56
32;Un-heated;14/01/2019;Outside;01/14/2019;56
33;Un-heated;14/01/2019;Outside;01/14/2019;56
1;Outside;04/02/2019;Outside;02/04/2019;77
4;Un-heated;04/02/2019;Heated;02/04/2019;77
5;Heated;04/02/2019;Heated;02/04/2019;77
10;Un-heated;04/02/2019;Un-heated;02/04/2019;77
11;Heated;04/02/2019;Heated;02/04/2019;77
16;Heated;04/02/2019;Heated;02/04/2019;77
17;Heated;04/02/2019;Heated;02/04/2019;77
18;Heated;04/02/2019;Heated;02/04/2019;77
19;Un-heated;04/02/2019;Un-heated;02/04/2019;77
20;Un-heated;04/02/2019;Un-heated;02/04/2019;77
21;Un-heated;04/02/2019;Un-heated;02/04/2019;77
2;Un-heated;04/02/2019;Un-heated;02/04/2019;77
