"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.23,2.52,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.3,2.48,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.34,2.65,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
1.3,1.57,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
1.67,2.08,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.35,3.09,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
3.55,5.1,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
4.02,5.28,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
3.13,3.85,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.71,3,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.63,2.72,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.2,2.51,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
