"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.88,1.66,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
1.77,1.62,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
1.57,1.15,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
1.82,1.8,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
1.89,1.82,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.08,2.17,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.55,2.84,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.75,3.47,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
2.52,2.88,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
1.9,2.41,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
1.78,1.52,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
1.56,1.53,"rcp45",2035,2065,2050,1990,"relative","CanESM2"
