"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.53,1.63,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.41,1.39,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
0.57,0.39,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.07,0.89,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.08,1.2,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.85,2.52,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.56,2.76,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.63,2.68,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.57,3.55,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.01,2.43,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.25,2.35,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.49,1.53,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
