"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.58,2.42,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.68,2.59,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
1.77,1.6,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.12,2.1,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
1.24,1.3,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.93,1.61,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
1.99,3,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.15,3.47,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.18,2.74,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
1.59,1.53,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.08,1.87,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.14,1.92,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2G"
