"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.58,2.03,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.12,1.56,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.22,1.71,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
1.7,1.52,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
1.74,1.77,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
1.72,1.67,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.24,2.27,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
1.54,1.32,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.55,2.97,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
1.93,1.79,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
1.73,1.53,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
1.97,1.56,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
