"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2,1.87,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
0.81,0.68,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.01,0.77,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.35,1.32,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.55,1.46,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.13,1.09,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.01,1.25,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.63,1.8,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
0.98,0.95,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.43,1.57,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.89,1.99,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
1.46,1.57,"rcp45",2035,2065,2050,1990,"relative","CNRM-CM5"
