"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1,0.77,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.39,1.22,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.92,1.22,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.18,1.09,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
0.79,1.6,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.11,1.94,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.24,2.63,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.91,3.47,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.38,1.83,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
0.94,0.86,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.79,1.51,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
1.4,1.26,"rcp45",2070,2100,2085,1990,"relative","CCSM4"
