"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.28,1.99,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.39,1.29,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.22,1.46,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.31,1.12,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
0.83,1.54,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.97,3.52,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.3,3.71,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
3.1,5.67,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.36,4.47,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.93,2.65,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.69,2.17,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2,2.22,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
