"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
4.03,3.53,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
3.97,3.69,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.47,2.42,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
1.95,2.03,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
1.85,2.25,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
3.11,3.04,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
3.25,3.03,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
3.01,2.62,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
3.48,3.54,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.61,2.64,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.06,2.2,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.48,2.22,"rcp85",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
