"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.01,1.24,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
1.42,1.62,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
1.62,1.99,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
1.1,2.08,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
0.55,2.59,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
0.64,2.52,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
1,3.32,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
1.4,3.56,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
0.68,2.08,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
0.53,1.33,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
1.14,1.67,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
1.42,1.7,"rcp85",2035,2065,2050,1990,"relative","CCSM4"
