"Date","JDay","Coef","VIP","Tmean","Tstdev"
801,-152,0.082603610380244,0.367658981484059,18.3297030697121,1.91400375274828
802,-151,0.0932919778570347,0.415977520861828,18.3084558062045,1.88438861184042
803,-150,0.0940262245468756,0.453044061559285,18.2714772727273,1.84436800090689
804,-149,0.0899056974947592,0.460946325985867,18.2374166666667,1.88627593219114
805,-148,0.0643769065011196,0.414033604382726,18.1960909090909,1.88456715688753
806,-147,0.0103314600341728,0.447657179932564,18.1714772727273,1.85533671378233
807,-146,-0.01575293718524,0.530352742975363,18.1268939393939,1.8909380945659
808,-145,-0.00155072431968126,0.575909897340488,18.0779696969697,1.85089045186842
809,-144,-0.0096756095436948,0.6311310160012,18.0313939393939,1.7671726493526
810,-143,0.00265024332452094,0.705276476664602,17.9973181818182,1.73127978701841
811,-142,-0.00850634633100325,0.791731240109716,17.9128560606061,1.67291761555966
812,-141,-0.020336093883619,0.894535839519609,17.7847803030303,1.6792746027869
813,-140,-0.0587117977467293,1.02494369723323,17.6893939393939,1.66199965517678
814,-139,-0.0890563412093126,1.06783970079757,17.648803030303,1.67452786070793
815,-138,-0.114982990587865,1.11896791100486,17.6124318181818,1.7290525535827
816,-137,-0.117975237646956,1.12864486243835,17.5325606060606,1.73382657559733
817,-136,-0.10274533298384,1.10845493155988,17.4531287878788,1.71203263103707
818,-135,-0.0851372009078127,1.10812219162877,17.3685227272727,1.70858181904306
819,-134,-0.0898724065793391,1.14110588935471,17.2793106060606,1.73364262046098
820,-133,-0.0733201087418826,1.13582969970732,17.1633456780303,1.78735531666039
821,-132,-0.0801314196159085,1.15108915688557,17.0896610530303,1.81662138437702
822,-131,-0.0996917898894136,1.17120767613602,17.0028352954545,1.83346336565436
823,-130,-0.0960114218463603,1.12728647540678,16.9060398409091,1.84104657770996
824,-129,-0.0662584138695664,0.997112702671897,16.7963504469697,1.76482330008147
825,-128,-0.033355417197575,0.910795748397258,16.6567140833333,1.70843734367916
826,-127,0.00234928648769596,0.826657367388863,16.4783959015152,1.66943544061317
827,-126,0.0285863049883847,0.768005081986655,16.3480549924242,1.70006017531706
828,-125,0.0454302855962986,0.710273249142921,16.2479110530303,1.73134097307052
829,-124,0.0574786760141831,0.66340923326202,16.1636080227273,1.71114990498318
830,-123,0.072991886663113,0.660301479090294,16.0584110530303,1.67006793574956
831,-122,0.0646108676900401,0.688273972790005,15.9533987083333,1.66433204579654
901,-121,0.0457058808102131,0.702608758557934,15.7539924242424,1.67672971131458
902,-120,0.0572608751300234,0.714030438634104,15.6218333333333,1.6977143137371
903,-119,0.0618231282326818,0.699900572159637,15.5274848484848,1.68783267506045
904,-118,0.0708084795459131,0.717622538104848,15.4705378787879,1.71128925121628
905,-117,0.0771280077435836,0.69902211548269,15.3867045454545,1.78224275550901
906,-116,0.0739076902733716,0.680693225920303,15.3422878787879,1.81868339184635
907,-115,0.0715628863956511,0.699523010445231,15.285696969697,1.81837005278823
908,-114,0.0848019101320387,0.746971983111964,15.1697651515152,1.85920766111005
909,-113,0.0812379497923047,0.735594280020729,15.0452878787879,1.90959337794096
910,-112,0.0669943625064044,0.717100843016224,14.9368181818182,1.95148339173338
911,-111,0.0576809510684425,0.664423768276334,14.8124015151515,1.94932352400271
912,-110,0.0581812132098367,0.60116578604416,14.7299393939394,1.93025429940287
913,-109,0.0483204433928981,0.61207324921791,14.6206742424242,1.9366384953106
914,-108,0.0133625176531189,0.613093826130634,14.5045757575758,1.93750506529423
915,-107,-0.0388563691004579,0.631688667214857,14.3595984848485,1.98035507952786
916,-106,-0.0743606654301359,0.662122390261989,14.2323106060606,2.03342332967782
917,-105,-0.0924052951191738,0.677037784632653,14.1257196969697,2.11255191506915
918,-104,-0.102218671708821,0.667931550219048,13.9537954545455,2.07894842747953
919,-103,-0.10686019933742,0.658751590202341,13.8561439393939,2.06789020868998
920,-102,-0.107519834047003,0.641205877052014,13.7614772727273,2.03811659228971
921,-101,-0.110525882622548,0.632786870013394,13.6607651515152,2.01905902293227
922,-100,-0.0882098156213107,0.576299012011428,13.5786136363636,1.96787945635259
923,-99,-0.0636751728311481,0.519674097211851,13.4702272727273,1.88194066746669
924,-98,-0.0472863733994597,0.427796118172722,13.4444621212121,1.86179408263454
925,-97,-0.0274343384932143,0.345024400178747,13.3554545454545,1.85819465777634
926,-96,-0.0221819536040361,0.285568587640038,13.2310984848485,1.83662618127253
927,-95,-0.0108399602741342,0.228783961057327,13.1339621212121,1.81926188469292
928,-94,-0.0126104902859887,0.18372998169684,12.9879090909091,1.87569542820877
929,-93,-0.0355648275250479,0.222164960774132,12.9463106060606,1.88325291080772
930,-92,-0.0689253163080446,0.3116414275735,12.8549166666667,1.83224961845279
1001,-91,-0.0693594028914474,0.339548148731208,12.7560075757576,1.77543295768181
1002,-90,-0.0647876410970091,0.375139508563075,12.6616515151515,1.75905841389038
1003,-89,-0.0713677987769598,0.397739877409728,12.5001363636364,1.73617695835782
1004,-88,-0.0650902969947959,0.440511385535575,12.4076136363636,1.77324940085463
1005,-87,-0.0462204196777314,0.44205109602442,12.2574318181818,1.81901081799071
1006,-86,-0.0168130107096729,0.463607557851725,12.1151818181818,1.90100659374909
1007,-85,0.0230006362950484,0.548134791167099,11.9607575757576,1.94526004828676
1008,-84,0.0284872998489307,0.55154979363894,11.7563636363636,2.00528786184946
1009,-83,0.0350310311265145,0.555612807861812,11.5703484848485,2.09571888904597
1010,-82,0.0466468678570188,0.578560933036978,11.3715833333333,2.16608758885246
